Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Browser,OS,City,Country,Referrer,Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a48612d8c00e9f541b86b8,anonymous,6/10/2022,9:35,,,,,,0:01:29,Student/Looking/None,No,0-40k,Finance,Other,0.0,6.0,7.0,2.0,10.0,3.0,Easy,Better Salary,Male,35,United States,Masters,Asian or Asian American
62a48612d8c00e9f541b86b8,anonymous,6/14/2022,9:44,,,,,,0:02:47,Other (Please Specify):BI Developer ,Yes,0-40k,Agriculture,Python,1.0,5.0,1.0,,,10.0,Difficult,Better Salary,Male,35,India,Masters,White or Caucasian
62a38a97cf25554317309af2,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,Yes,0-40k,Healthcare,Python,0.0,2.0,3.0,1.0,6.0,1.0,Neither easy nor difficult,Other (Please Specify):Better Tech Stack,Male,21,Other (Please Specify):Nigeria,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,Yes,41k-65k,Finance,Other:Altery,0.0,0.0,5.0,1.0,10.0,6.0,Neither easy nor difficult,Other (Please Specify):Remote too,Male,18,Other (Please Specify):Uruguay,High School,Asian or Asian American
62a353f07dc029e2d66c1783,anonymous,6/11/2022,11:54,,,,,,0:02:31,Data Analyst,Yes,0-40k,Finance,Python,2.0,0.0,,0.0,4.0,1.0,Difficult,Good Work/Life Balance,Female,44,Other (Please Specify):Nigeria ,Masters,Hispanic or Latino
62a33de124a26260273826b2,anonymous,6/10/2022,11:54,,,,,,0:03:00,Data Analyst,No,0-40k,Finance,Other:SQL,2.0,9.0,8.0,5.0,,0.0,Difficult,Good Work/Life Balance,Female,32,Other (Please Specify):Singapore,Masters,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:30,,,,,,0:01:29,Data Engineer,Yes,41k-65k,Other (Please Specify):Energy (oil and gas),Python,5.0,9.0,10.0,2.0,,10.0,Difficult,Better Salary,Male,30,Other (Please Specify):Ire,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:44,,,,,,0:03:00,Other (Please Specify):Finance Analyst ,No,86k-105k,Other (Please Specify):Consulting,Python,10.0,10.0,,,0.0,7.0,Neither easy nor difficult,Better Salary,Male,32,United States,Masters,White or Caucasian
62a3907cbae91e4b8b838917,anonymous,6/11/2022,9:45,,,,,,0:02:47,Data Analyst,No,0-40k,Tech,Python,1.0,0.0,10.0,10.0,10.0,10.0,Very Difficult,Better Salary,Male,27,Other (Please Specify):Colombia,Masters,White or Caucasian
62a352a32e54c9003e534981,anonymous,6/11/2022,9:13,,,,,,0:02:31,Data Analyst,No,150k-225k,Tech,Python,1.0,7.0,7.0,8.0,7.0,4.0,Difficult,Better Salary,Female,30,Other (Please Specify):Germany,High School,White or Caucasian
62a33c8624a26260273822f9,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,Yes,0-40k,Construction,Python,6.0,6.0,,0.0,0.0,0.0,Difficult,Good Work/Life Balance,Male,57,Other (Please Specify):Bangladesh ,Masters,Other (Please Specify):Half Asian half African 
62a33d5c0f8c8599d5af107c,anonymous,6/11/2022,9:44,,,,,,0:01:11,Data Analyst,Yes,86k-105k,Education,Python,0.0,5.0,,5.0,4.0,9.0,Very Difficult,Better Salary,Male,34,Other (Please Specify):Kenya,Masters,White or Caucasian
62aa95970a77c1a77f709268,anonymous,6/12/2022,9:45,,,,,,0:01:11,Data Analyst,No,0-40k,Education,Other:Power bi,,10.0,,,2.0,1.0,Very Difficult,Good Culture,Female,25,United States,,White or Caucasian
62a49fe7b4da29969c64bbe1,anonymous,6/12/2022,9:45,,,,,,0:02:18,Data Analyst,No,0-40k,Finance,R,7.0,,,3.0,7.0,0.0,Difficult,Remote Work,Female,34,Other (Please Specify):Mexico,Masters,White or Caucasian
62a3dc3ab4da29969c63e3d7,anonymous,6/11/2022,11:54,,,,,,0:01:27,Data Engineer,No,41k-65k,Healthcare,Python,10.0,0.0,,2.0,0.0,4.0,Difficult,Better Salary,Female,34,United States,Masters,Other (Please Specify):Indian
62a33de124a26260273826b2,anonymous,6/11/2022,9:44,,,,,,0:02:31,Data Analyst,No,86k-105k,Tech,Python,3.0,2.0,6.0,9.0,0.0,10.0,Difficult,Better Salary,Male,18,Other (Please Specify):France,Bachelors,Other (Please Specify):South Indian 
62a33de124a26260273826b2,anonymous,6/10/2022,9:45,,,,,,0:02:31,Data Analyst,No,0-40k,Tech,Python,4.0,10.0,0.0,10.0,0.0,10.0,Difficult,Good Culture,Male,21,United Kingdom,Masters,White or Caucasian
62a3906224a262602738c58a,anonymous,6/11/2022,9:35,,,,,,0:02:47,Data Analyst,No,86k-105k,Finance,Python,10.0,9.0,0.0,9.0,0.0,0.0,Difficult,Remote Work,Male,35,Other (Please Specify):Nigeria ,Masters,Hispanic or Latino
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,11:54,,,,,,0:02:18,Data Analyst,No,0-40k,Tech,Python,,10.0,10.0,0.0,0.0,0.0,Difficult,Remote Work,Male,42,Other (Please Specify):UAE,Bachelors,White or Caucasian
62a38a97cf25554317309af2,anonymous,6/11/2022,9:26,,,,,,0:02:31,Data Analyst,No,66k-85k,Tech,R,0.0,10.0,5.0,10.0,,4.0,Difficult,Good Culture,Female,25,Other (Please Specify):Portugal,Bachelors,Asian or Asian American
62a38a97cf25554317309af2,anonymous,6/10/2022,9:45,,,,,,0:02:31,Other (Please Specify):Analytics Engineer,Yes,86k-105k,Real Estate,R,10.0,7.0,,10.0,,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,18,Other (Please Specify):Nigeria ,Masters,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:45,,,,,,0:02:31,Data Analyst,No,0-40k,Tech,Other:SQL,1.0,6.0,,7.0,0.0,8.0,Difficult,Better Salary,Male,18,Other (Please Specify):Costa Rica,Bachelors,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/13/2022,9:45,,,,,,0:02:31,Data Scientist,Yes,0-40k,Finance,Python,6.0,2.0,1.0,10.0,5.0,10.0,Difficult,Other (Please Specify):Currently very happy with where I am.,Male,29,United States,Associates,White or Caucasian
62a34f3bf408bae018ed5e42,anonymous,6/11/2022,9:45,,,,,,0:01:27,Data Analyst,No,0-40k,Finance,R,7.0,2.0,,9.0,6.0,10.0,Difficult,Better Salary,Female,24,United States,Bachelors,White or Caucasian
62a39a95bc6861bf3177751d,anonymous,6/11/2022,9:35,,,,,,0:00:44,Data Analyst,No,86k-105k,Other (Please Specify):Sports,Python,10.0,10.0,5.0,2.0,2.0,0.0,Difficult,Good Work/Life Balance,Male,57,United States,Bachelors,White or Caucasian
